analysis_type,n_replicate_groups,n_RSD_gt_20,percent_RSD_gt_20,n_Dixon_flagged,percent_Dixon_flagged,n_3xSD_flagged,percent_3xSD_flagged
xrf,1315,82,10.526315789473683,172,26.100151745068285,16,2.053915275994865
icp,518,62,17.174515235457065,0,,8,2.1505376344086025
proximate,460,10,2.277904328018223,41,9.339407744874716,15,3.416856492027335
compositional,352,23,6.571428571428571,33,9.67741935483871,12,3.428571428571429
ultimate,57,0,0.0,0,,0,0.0
xrd,10,0,0.0,0,0.0,0,0.0
