category,count,percent_of_total
RSD20_only,140,5.162241887905605
Dixon_only,224,8.259587020648967
3xSD_only,23,0.8480825958702065
RSD20_and_Dixon,12,0.4424778761061947
RSD20_and_3xSD,18,0.6637168141592921
Dixon_and_3xSD,3,0.11061946902654868
all_three,7,0.2581120943952802
flagged_by_any,427,15.744837758112096
flagged_by_none,2285,84.2551622418879
